subjID,correct_pred,human_vs_gpt,prob_subtype,N_gen
0,1,0,0,0
0,1,0,1,0
0,1,0,2,0
0,1,0,3,0
0,1,0,4,0
0,0,0,5,0
0,0,0,12,1
0,1,0,19,1
0,1,0,26,1
0,0,0,39,1
0,1,0,10,1
0,1,0,23,1
0,0,0,128,2
0,1,0,45,2
0,0,0,85,2
0,1,0,45,2
0,0,0,69,2
0,1,0,56,2
0,1,0,228,3
0,0,0,241,3
0,0,0,189,3
0,1,0,157,3
0,0,0,180,3
0,1,0,214,3
1,1,0,0,0
1,1,0,1,0
1,1,0,2,0
1,1,0,3,0
1,1,0,4,0
1,1,0,5,0
1,1,0,6,1
1,1,0,13,1
1,1,0,20,1
1,1,0,15,1
1,1,0,22,1
1,0,0,17,1
1,1,0,92,2
1,1,0,124,2
1,1,0,129,2
1,1,0,68,2
1,1,0,113,2
1,1,0,120,2
1,1,0,236,3
1,0,0,189,3
1,0,0,142,3
1,1,0,199,3
1,1,0,183,3
1,1,0,132,3
2,0,0,0,0
2,1,0,1,0
2,1,0,2,0
2,0,0,3,0
2,0,0,4,0
2,0,0,5,0
2,0,0,12,1
2,1,0,13,1
2,0,0,14,1
2,0,0,33,1
2,0,0,28,1
2,0,0,41,1
2,0,0,129,2
2,1,0,101,2
2,0,0,116,2
2,0,0,108,2
2,1,0,79,2
2,0,0,49,2
2,1,0,187,3
2,0,0,190,3
2,1,0,195,3
2,0,0,204,3
2,0,0,210,3
2,1,0,181,3
3,1,0,0,0
3,1,0,1,0
3,1,0,2,0
3,1,0,3,0
3,0,0,4,0
3,0,0,5,0
3,0,0,36,1
3,0,0,31,1
3,1,0,8,1
3,0,0,21,1
3,1,0,40,1
3,0,0,41,1
3,0,0,76,2
3,1,0,95,2
3,0,0,122,2
3,0,0,81,2
3,0,0,124,2
3,0,0,127,2
3,0,0,146,3
3,0,0,225,3
3,0,0,146,3
3,0,0,207,3
3,0,0,198,3
3,1,0,150,3
4,1,0,0,0
4,0,0,1,0
4,1,0,2,0
4,1,0,3,0
4,0,0,4,0
4,0,0,5,0
4,1,0,24,1
4,0,0,31,1
4,0,0,20,1
4,0,0,33,1
4,0,0,40,1
4,0,0,35,1
4,0,0,81,2
4,0,0,57,2
4,0,0,60,2
4,0,0,99,2
4,0,0,84,2
4,0,0,94,2
4,0,0,169,3
4,0,0,244,3
4,0,0,153,3
4,0,0,208,3
4,1,0,207,3
4,0,0,204,3
5,0,0,0,0
5,0,0,1,0
5,0,0,2,0
5,0,0,3,0
5,0,0,4,0
5,0,0,5,0
5,0,0,18,1
5,0,0,31,1
5,1,0,26,1
5,0,0,39,1
5,0,0,40,1
5,0,0,17,1
5,0,0,96,2
5,0,0,88,2
5,0,0,101,2
5,0,0,70,2
5,0,0,112,2
5,0,0,58,2
5,0,0,205,3
5,0,0,227,3
5,0,0,214,3
5,0,0,234,3
5,0,0,150,3
5,0,0,242,3
6,0,0,0,0
6,0,0,1,0
6,0,0,2,0
6,0,0,3,0
6,0,0,4,0
6,0,0,5,0
6,0,0,6,1
6,0,0,13,1
6,0,0,8,1
6,0,0,9,1
6,0,0,16,1
6,0,0,29,1
6,0,0,61,2
6,0,0,77,2
6,0,0,43,2
6,0,0,59,2
6,0,0,122,2
6,0,0,62,2
6,0,0,225,3
6,0,0,156,3
6,0,0,199,3
6,0,0,218,3
6,0,0,191,3
6,0,0,154,3
7,1,0,0,0
7,1,0,1,0
7,1,0,2,0
7,1,0,3,0
7,1,0,4,0
7,0,0,5,0
7,0,0,12,1
7,1,0,31,1
7,1,0,38,1
7,1,0,21,1
7,0,0,40,1
7,0,0,17,1
7,0,0,109,2
7,1,0,47,2
7,0,0,106,2
7,0,0,46,2
7,1,0,45,2
7,1,0,73,2
7,0,0,198,3
7,1,0,151,3
7,0,0,220,3
7,0,0,230,3
7,0,0,216,3
7,0,0,166,3
8,1,0,0,0
8,1,0,1,0
8,1,0,2,0
8,0,0,3,0
8,0,0,4,0
8,0,0,5,0
8,0,0,12,1
8,0,0,7,1
8,1,0,14,1
8,0,0,27,1
8,1,0,28,1
8,1,0,29,1
8,0,0,110,2
