subjID,gen_correct_pred,MC_correct_pred,human_vs_gpt,exp1_vs_exp2,prob_type,onerule_subtype
0,1,1,0,0,0,0
0,1,1,0,0,0,0
0,1,1,0,0,0,1
0,1,1,0,0,0,1
0,1,1,0,0,0,2
0,1,1,0,0,0,2
0,1,1,0,0,1,-1
0,1,1,0,0,1,-1
0,1,1,0,0,1,-1
0,1,1,0,0,1,-1
0,1,1,0,0,1,-1
0,1,1,0,0,1,-1
0,1,1,0,0,2,-1
0,1,1,0,0,2,-1
0,1,1,0,0,2,-1
0,1,1,0,0,2,-1
0,1,1,0,0,2,-1
0,1,1,0,0,2,-1
0,1,1,0,0,2,-1
0,1,1,0,0,2,-1
0,1,1,0,0,2,-1
0,1,1,0,0,2,-1
1,1,1,0,0,0,0
1,1,1,0,0,0,0
1,1,1,0,0,0,1
1,1,1,0,0,0,1
1,1,1,0,0,0,2
1,1,1,0,0,0,2
1,1,1,0,0,1,-1
1,0,1,0,0,1,-1
1,1,1,0,0,1,-1
1,1,1,0,0,1,-1
1,1,1,0,0,1,-1
1,1,1,0,0,1,-1
1,1,1,0,0,2,-1
1,1,1,0,0,2,-1
1,1,1,0,0,2,-1
1,0,0,0,0,2,-1
1,0,0,0,0,2,-1
1,0,0,0,0,2,-1
1,0,0,0,0,2,-1
1,1,1,0,0,2,-1
1,0,0,0,0,2,-1
1,1,1,0,0,2,-1
2,1,1,0,0,0,0
2,1,1,0,0,0,0
2,1,1,0,0,0,1
2,1,1,0,0,0,1
2,1,1,0,0,0,2
2,0,0,0,0,0,2
2,1,1,0,0,1,-1
2,1,1,0,0,1,-1
2,1,1,0,0,1,-1
2,1,1,0,0,1,-1
2,1,1,0,0,1,-1
2,1,1,0,0,1,-1
2,1,1,0,0,2,-1
2,1,1,0,0,2,-1
2,1,1,0,0,2,-1
2,1,1,0,0,2,-1
2,1,1,0,0,2,-1
2,1,1,0,0,2,-1
2,1,1,0,0,2,-1
2,1,1,0,0,2,-1
2,0,0,0,0,2,-1
2,0,0,0,0,2,-1
3,1,1,0,0,0,0
3,1,1,0,0,0,0
3,1,1,0,0,0,1
3,1,1,0,0,0,1
3,1,1,0,0,0,2
3,1,1,0,0,0,2
3,1,1,0,0,1,-1
